id,temp,hum,gas,hpa,date,time
5b22c80ec178c75dfcb3ffc3,27,60,263,987,14.6.2018,22:54:54
5b22cb92c178c75dfcb3ffc4,26,62,173,987,14.6.2018,23:09:54
5b22cf17c178c75dfcb3ffc5,26,62,168,987,14.6.2018,23:24:55
5b22d29cc178c75dfcb3ffc6,26,62,166,987,14.6.2018,23:39:56
5b22d621c178c75dfcb3ffc7,26,62,158,987,14.6.2018,23:54:57
5b22d9a8c178c75dfcb3ffc8,26,63,155,987,15.6.2018,00:10:00
5b22dd2dc178c75dfcb3ffc9,26,63,151,987,15.6.2018,00:25:01
5b22e0b2c178c75dfcb3ffca,26,63,147,987,15.6.2018,00:40:02
5b22e43cc178c75dfcb3ffcb,26,63,145,987,15.6.2018,00:55:08
5b22e7c3c178c75dfcb3ffcc,26,63,145,987,15.6.2018,01:10:11
5b22eb48c178c75dfcb3ffcd,26,63,148,987,15.6.2018,01:25:12
5b22eecdc178c75dfcb3ffce,26,63,152,986,15.6.2018,01:40:13
5b22f251c178c75dfcb3ffcf,26,63,147,987,15.6.2018,01:55:13
5b22f5d6c178c75dfcb3ffd0,26,63,144,986,15.6.2018,02:10:14
5b22f95bc178c75dfcb3ffd1,27,63,142,986,15.6.2018,02:25:15
5b22fce0c178c75dfcb3ffd2,27,63,143,986,15.6.2018,02:40:16
5b230065c178c75dfcb3ffd3,27,63,142,986,15.6.2018,02:55:17
5b2303eac178c75dfcb3ffd4,26,63,142,986,15.6.2018,03:10:18
5b23076ec178c75dfcb3ffd5,26,63,142,986,15.6.2018,03:25:18
5b230af3c178c75dfcb3ffd6,26,63,140,986,15.6.2018,03:40:19
5b230e78c178c75dfcb3ffd7,26,63,139,986,15.6.2018,03:55:20
5b2311fdc178c75dfcb3ffd8,26,63,137,986,15.6.2018,04:10:21
5b231582c178c75dfcb3ffd9,26,63,136,987,15.6.2018,04:25:22
5b231907c178c75dfcb3ffda,26,63,136,987,15.6.2018,04:40:23
5b231c8bc178c75dfcb3ffdb,26,63,135,987,15.6.2018,04:55:23
5b232010c178c75dfcb3ffdc,26,63,135,987,15.6.2018,05:10:24
5b232395c178c75dfcb3ffdd,26,63,135,987,15.6.2018,05:25:25
5b23271ac178c75dfcb3ffde,26,63,136,987,15.6.2018,05:40:26
5b232a9fc178c75dfcb3ffdf,26,63,137,987,15.6.2018,05:55:27
